"method","score","hours","attendance","GPA"
"Lecture",61.724327932964,4.76817873783459,82.436748710611,2.9976713898668
"Lecture",61.1927392465879,4.46376758854017,98.509455001724,2.7599153466145
"Lecture",48.6863388004269,3.11422370259032,78.1894188440514,2.83995230101487
"Lecture",68.288980855138,2.90021910135214,85.686281092793,3.38630257367538
"Interactive",72.595793038063,2.99907076226849,85.3539136174521,3.54722218910456
"Interactive",65.4257409267946,5.33377719743357,93.9903445427742,2.80121117934432
"Interactive",75.3056550597391,6.17132512735879,95.2924083229778,3.12920809691836
"Interactive",71.0980926749764,7.05953924229931,95.2443184440505,3.49065414518686
"Interactive",78.7201083838987,3.62313840175948,82.0968147523733,3.31311660227336
"Interactive",85.4593754218479,3.84914443437289,99.249803468182,3.40440369109839
"Interactive",66.0584599111241,4.29417860523988,94.0843641489977,4.03787806466112
"Interactive",77.6372023806423,3.94594421792281,88.8664126793087,3.0544859026801
"Interactive",74.6791844694279,4.35425627685751,92.5180388939913,2.66603996552126
"Interactive",81.1645246581164,4.8146220323235,84.1430738542407,3.38210858172912
"Interactive",72.1617748884299,3.79877794926001,83.5192187922057,3.09372094762698
"Interactive",80.6929525476849,7.03697216698315,89.245252254688,3.43381231588856
"Interactive",60.0395531093065,5.10777474488555,83.0075207172111,3.05628458286282
"Interactive",87.515671370507,4.91589189949442,89.9500949927987,3.96361664410054
"Interactive",80.9182238281486,5.49561964160459,95.4885294980233,3.26288820852677
"Interactive",72.793792088914,5.03741518611797,83.8306313851762,3.15679934819098
"Interactive",62.4079429588867,4.86791196304409,85.3077962289347,3.25012155255402
"Interactive",79.1440696003359,6.4767874235521,89.2328196972543,3.55876901508793
"Interactive",77.8655509105181,4.7829697899079,83.9120194008695,3.32920214556085
"Interactive",73.9491549886289,3.71639779590777,87.0835802005686,2.81231497823661
"Interactive",75.2116471428994,5.3856678904434,93.363777058357,3.29861376965206
"Interactive",69.3271282372016,4.64848712647091,93.8477250698506,3.52807265029862
"Interactive",76.9504538610419,4.47820390664373,90.9192333251355,3.31169727386177
"Interactive",76.3572347177561,3.93186879931283,79.7422216846627,3.52052164248433
"Interactive",71.7659250132594,5.42836590326669,88.7300163158692,3.25605821190034
"Interactive",63.3101067608548,4.825981765573,94.3238660716914,3.28263379938562
"Interactive",79.6059905475203,5.51566772864803,93.065975187058,3.44471083983136
"Interactive",78.4335729781923,4.76563472269408,88.0459176294786,3.59788309103272
"Interactive",67.3095472575887,4.34149657417823,75.5003509571815,2.92608135059039
"Interactive",61.2432947039501,6.25023660407872,89.3048331940056,3.28995374254632
"Interactive",75.6396686447011,4.7282362848886,91.8687584874179,3.278711345625
"Interactive",71.2392961762169,5.9479519958752,89.2290178986255,3.07232380388071
"Interactive",76.0208936269156,3.79841756989106,89.7870627008794,2.98969219171825
"Interactive",63.6479802761236,4.5338839036245,91.1578268643439,3.11078041380875
"Interactive",66.3266364449571,4.73064860484682,87.0172513197489,3.4760423160039
"Interactive",82.6861988294392,4.60903459186914,95.5498911287577,3.1751032031449
"Interactive",77.2301992377257,6.34870701199171,91.3519669993697,3.0645336571484
"Interactive",78.6919002937544,4.97723529870159,82.786648647127,3.34902489584583
"Interactive",88.5218275692316,5.24422585110345,95.9078772819277,2.9289857294672
"Interactive",75.0305714288191,4.05762829213608,95.0222946850491,3.613762132871
