id,age,gender,department,education,years_exp,weekly_hours,job_satisfaction,salary
38,23,Male,Marketing,Master's,0,39,6.5,44.5
39,40,Female,Operations,Master's,6,47,4.3,32.9
40,60,Female,Sales,Master's,26,46,7.5,59.4
41,59,Male,Finance,Bachelor's,17,40,7.3,61.1
42,24,Male,Sales,Bachelor's,0,42,4.2,36.4
43,53,Female,Finance,Master's,6,45,3.3,55.1
44,28,Female,HR,PhD,3,35,2.5,45.0
45,59,Female,Sales,Bachelor's,4,38,6.5,43.3
46,22,Female,Sales,Master's,0,43,3.7,34.0
47,37,Male,Marketing,Bachelor's,12,38,4.4,42.6
48,53,Female,HR,Master's,11,36,6.9,46.9
49,51,Female,IT,Bachelor's,17,42,3.6,55.7
50,31,Female,IT,Bachelor's,6,44,5.6,40.7
51,51,Female,Finance,Bachelor's,13,42,4.9,54.7
52,32,Female,Operations,Master's,3,44,3.2,30.0
53,41,Female,Finance,Bachelor's,4,39,2.8,56.1
54,29,Male,Operations,Bachelor's,1,44,6.6,34.6
55,39,Male,IT,Bachelor's,3,38,3.1,41.0
56,23,Male,HR,Master's,1,42,5.9,40.5
57,23,Female,Sales,Bachelor's,0,43,4.8,24.4
58,58,Male,Finance,PhD,9,45,4.1,57.2
59,49,Female,HR,Bachelor's,22,39,6.1,48.4
60,45,Female,Finance,Bachelor's,23,45,2.8,57.4
61,46,Female,Sales,Master's,13,40,6.5,54.7
62,43,Male,Operations,Master's,12,42,5.1,48.0
63,46,Male,IT,Bachelor's,15,45,2.3,54.0
64,40,Male,IT,Bachelor's,13,41,3.8,58.2
65,31,Female,Operations,Master's,6,44,6.7,29.4
66,62,Male,IT,Bachelor's,32,40,6.7,67.7
67,59,Male,Marketing,Bachelor's,30,42,4.9,59.9
68,29,Male,Marketing,Bachelor's,3,42,4.1,37.9
69,31,Female,IT,PhD,7,41,8.2,53.2
70,27,Male,Marketing,Master's,4,46,4.9,49.1
71,54,Female,HR,Bachelor's,2,38,8.4,43.9
72,49,Male,IT,Master's,10,45,5.8,59.3
73,44,Female,HR,PhD,10,39,3.9,50.1
74,27,Female,IT,Master's,5,42,5.8,54.6
75,61,Female,Sales,Bachelor's,17,41,4.5,50.6
76,32,Female,HR,Master's,10,35,3.3,58.7
77,53,Male,HR,PhD,29,37,6.7,63.5
78,43,Female,Marketing,Bachelor's,12,37,5.9,51.7
79,25,Female,Finance,Master's,0,39,4.3,42.6
80,38,Male,Finance,Master's,1,47,5.2,49.2
81,25,Male,HR,Master's,1,33,3.4,34.8
82,44,Male,Operations,Master's,17,40,4.2,50.3
83,62,Male,IT,Master's,9,40,6.6,58.6
84,37,Female,Operations,Bachelor's,11,52,5.2,40.1
85,58,Male,Operations,Master's,24,39,4.7,55.5
86,39,Female,IT,Bachelor's,5,42,4.4,49.5
87,33,Male,Marketing,Bachelor's,5,38,2.5,50.4
88,43,Female,Operations,PhD,6,42,4.2,49.6
89,34,Male,Sales,PhD,10,45,6.0,53.6
90,40,Female,Finance,Bachelor's,16,44,3.6,56.3
91,34,Female,Operations,Bachelor's,2,44,5.8,34.7
92,42,Male,Marketing,PhD,2,37,7.1,52.4
93,32,Male,Marketing,Bachelor's,1,39,3.2,45.0
94,35,Male,Operations,Master's,13,46,4.3,50.3
95,36,Male,Marketing,Bachelor's,3,36,5.1,48.8
96,32,Female,IT,Master's,10,41,5.8,50.1
97,52,Female,Marketing,Master's,0,36,6.1,38.8
98,44,Female,HR,Master's,12,41,5.0,34.9
99,55,Male,Operations,PhD,18,40,2.0,68.0
100,22,Male,IT,Bachelor's,0,40,2.6,39.1
101,56,Male,IT,Bachelor's,1,45,7.5,42.8
102,28,Female,HR,Bachelor's,2,41,4.5,39.5
103,51,Male,Marketing,Bachelor's,1,42,5.8,44.9
104,50,Male,HR,Master's,16,37,7.7,46.8
105,37,Male,Finance,Bachelor's,4,45,3.7,45.5
106,24,Male,HR,Master's,0,39,5.3,30.1
107,24,Male,HR,Bachelor's,0,42,3.4,28.5
108,49,Male,Sales,Bachelor's,0,46,4.1,38.3
109,40,Female,HR,Bachelor's,14,37,4.3,38.2
110,61,Male,Sales,Bachelor's,27,38,5.4,60.0
111,47,Female,Finance,Bachelor's,25,45,4.9,54.0
112,30,Male,Finance,Master's,0,45,4.3,54.3
113,34,Female,IT,PhD,8,38,3.3,62.8
114,36,Female,HR,Bachelor's,5,36,6.0,28.3
115,58,Male,Finance,Master's,26,47,4.3,58.2
116,48,Female,Sales,Master's,21,44,3.2,54.5
117,28,Female,Sales,Bachelor's,6,43,3.7,30.3
118,46,Female,HR,Master's,9,40,6.8,30.8
119,28,Male,Marketing,Master's,3,39,5.6,45.2
120,30,Female,HR,Master's,0,35,6.4,35.8
121,61,Male,Operations,Bachelor's,29,40,7.4,49.8
122,45,Female,Sales,Bachelor's,4,42,7.2,39.1
123,51,Male,Finance,Master's,7,49,5.0,51.1
124,35,Female,Finance,Master's,0,44,4.5,49.0
125,29,Female,Finance,Master's,1,46,6.6,35.3
126,38,Male,Operations,Bachelor's,3,50,2.9,36.9
127,62,Male,Marketing,PhD,21,42,4.5,61.4
128,48,Female,Sales,Bachelor's,25,46,3.2,48.0
129,37,Female,Sales,Bachelor's,11,44,4.5,41.9
130,23,Male,Finance,Bachelor's,1,44,3.5,34.2
131,43,Male,Sales,Bachelor's,19,40,3.0,48.7
132,48,Male,Sales,Master's,23,43,6.7,61.1
133,42,Male,Marketing,PhD,15,47,2.2,59.7
134,61,Female,Operations,Bachelor's,22,42,3.1,43.8
135,33,Female,Operations,Master's,8,39,4.6,44.6
136,22,Female,Operations,Master's,0,42,6.0,21.0
137,28,Female,Finance,Bachelor's,0,42,4.9,41.2
138,29,Male,Sales,Bachelor's,1,41,5.1,47.1
139,52,Female,Finance,Master's,1,47,6.6,41.2
140,50,Male,IT,Master's,2,40,4.2,54.4
141,35,Male,Finance,PhD,11,42,4.7,52.0
142,26,Female,IT,Bachelor's,0,43,2.5,46.3
143,24,Female,Sales,PhD,0,40,1.6,44.1
144,43,Female,Sales,Bachelor's,16,44,5.9,53.9
145,55,Female,Operations,Bachelor's,2,39,4.0,42.8
146,41,Female,Finance,Bachelor's,10,47,5.1,52.7
147,32,Male,Marketing,Master's,5,37,4.9,39.4
148,43,Male,HR,Bachelor's,12,38,2.6,42.9
149,52,Male,Sales,Master's,22,44,6.1,57.7
150,61,Female,Finance,Bachelor's,37,41,2.2,62.9
151,55,Male,Operations,Bachelor's,9,47,2.7,38.7
152,46,Female,HR,Master's,2,36,5.3,34.3
153,52,Female,HR,Bachelor's,24,40,7.3,45.0
154,32,Male,Finance,Master's,0,44,5.6,48.7
155,50,Female,Finance,Bachelor's,20,47,3.9,61.3
156,23,Female,IT,Bachelor's,1,43,4.3,41.0
157,48,Female,Operations,Master's,16,42,3.8,51.9
158,27,Male,Marketing,Master's,5,43,4.3,39.1
159,36,Female,IT,Bachelor's,8,40,5.9,52.1
160,49,Male,HR,Bachelor's,10,42,3.5,40.5
161,25,Female,Operations,Bachelor's,0,38,7.6,32.5
162,39,Male,Operations,PhD,13,41,5.5,48.6
163,23,Male,Finance,Bachelor's,1,44,2.9,50.0
164,48,Female,Sales,Master's,24,36,3.6,65.8
165,60,Male,Marketing,Bachelor's,10,38,6.2,39.8
166,51,Female,Finance,PhD,11,38,5.1,64.0
167,55,Female,HR,Master's,15,35,2.3,47.2
168,58,Male,Operations,Master's,0,42,3.4,43.5
169,30,Female,IT,Bachelor's,3,46,3.3,32.1
170,49,Female,Marketing,Master's,12,42,2.7,44.0
171,59,Male,Finance,Master's,20,46,5.5,74.0
172,36,Female,IT,Bachelor's,2,31,6.5,42.3
173,61,Male,IT,PhD,13,42,4.5,78.2
174,40,Male,Operations,Bachelor's,5,43,4.7,40.9
175,40,Male,Marketing,Bachelor's,15,44,6.0,45.9
176,52,Female,IT,Master's,27,38,4.6,61.8
177,60,Male,HR,Bachelor's,26,42,5.6,52.1
178,24,Male,Finance,Master's,2,48,3.8,53.0
179,25,Male,Marketing,Bachelor's,3,35,4.9,38.6
180,56,Male,Sales,Bachelor's,2,44,7.8,46.0
181,40,Male,HR,Master's,4,41,6.5,47.0
182,38,Female,HR,Bachelor's,4,37,7.2,25.6
183,55,Female,HR,Bachelor's,22,36,4.8,42.1
184,48,Female,IT,Bachelor's,4,43,5.6,41.1
185,61,Female,Operations,Master's,28,44,2.0,56.5
186,41,Male,Sales,Bachelor's,13,41,3.5,55.2
187,37,Female,IT,Master's,10,46,4.3,49.7
188,48,Male,Marketing,Bachelor's,13,42,3.3,49.8
189,48,Male,IT,Master's,14,41,3.0,66.4
190,23,Female,IT,Bachelor's,1,43,4.2,28.1
191,33,Male,Sales,Bachelor's,7,40,6.3,39.0
192,41,Female,Operations,Master's,4,39,5.0,43.0
193,48,Female,IT,Master's,11,41,3.1,53.9
194,61,Female,Operations,Bachelor's,14,46,4.2,41.2
195,52,Male,Marketing,Master's,7,34,2.9,45.8
196,25,Female,IT,Master's,0,30,4.2,43.3
197,53,Male,HR,Bachelor's,9,41,2.7,37.8
198,58,Female,Finance,Master's,9,51,6.6,55.3
199,29,Female,Marketing,Bachelor's,4,40,2.4,36.6
200,54,Female,Operations,Bachelor's,12,45,3.3,45.2
201,40,Male,HR,Master's,10,40,5.0,46.3
202,23,Male,Sales,Bachelor's,0,47,3.3,42.5
203,44,Female,Marketing,Master's,1,42,7.9,40.4
204,49,Female,HR,Master's,21,35,5.5,56.4
205,23,Female,Sales,Master's,1,39,4.3,41.3
206,44,Male,HR,Bachelor's,17,38,5.2,52.2
207,40,Female,HR,Bachelor's,5,36,5.0,36.8
208,54,Male,Marketing,Bachelor's,15,38,6.1,47.4
209,29,Female,IT,Bachelor's,2,44,2.4,40.7
210,42,Female,IT,Bachelor's,18,40,5.9,65.0
211,22,Female,Sales,Master's,0,41,4.1,31.2
212,25,Male,Marketing,Master's,3,45,4.9,41.9
213,60,Female,IT,Master's,35,41,5.2,70.3
214,26,Male,Marketing,PhD,0,40,6.5,54.4
215,23,Male,HR,Master's,1,41,4.7,39.6
216,40,Female,Finance,Bachelor's,7,48,6.1,46.1
217,27,Male,Sales,PhD,0,45,2.8,45.1
218,35,Male,Operations,Bachelor's,3,46,5.5,33.6
219,34,Female,Marketing,Bachelor's,11,37,4.7,52.2
220,56,Male,Finance,Bachelor's,2,38,3.6,39.2
221,45,Female,IT,Bachelor's,12,35,4.2,42.3
222,44,Male,HR,Bachelor's,0,36,4.8,27.3
223,49,Male,Operations,Bachelor's,10,44,3.0,40.1
224,50,Male,Operations,Bachelor's,0,44,2.4,37.7
225,60,Male,Sales,Master's,4,48,2.3,55.6
226,26,Male,Sales,Bachelor's,1,46,5.4,35.8
227,23,Female,Sales,Master's,1,42,6.3,30.3
228,43,Female,Operations,Bachelor's,16,45,3.8,32.9
229,51,Female,IT,Master's,15,44,6.7,55.5
230,45,Female,Finance,Bachelor's,2,45,4.3,32.0
231,29,Male,Operations,Master's,7,45,3.3,45.9
232,48,Male,Sales,PhD,25,37,3.0,62.6
233,29,Male,Finance,PhD,2,42,3.9,47.3
234,22,Male,Operations,Bachelor's,0,40,3.0,30.3
235,56,Male,Operations,Master's,8,47,5.8,47.5
236,24,Female,Sales,Bachelor's,1,42,6.2,37.1
237,25,Male,IT,Master's,2,42,5.7,56.5
238,53,Female,Operations,Bachelor's,18,39,5.3,51.1
239,46,Female,Marketing,Bachelor's,3,37,6.3,33.4
240,26,Male,Operations,Bachelor's,1,45,3.4,31.6
241,22,Female,IT,Master's,0,36,1.0,36.9
242,47,Female,Operations,Bachelor's,16,46,5.9,46.1
243,30,Female,IT,Bachelor's,1,40,6.6,39.3
244,57,Female,Marketing,PhD,19,42,4.2,61.9
245,42,Male,IT,Bachelor's,16,47,5.2,53.9
246,62,Male,Marketing,Bachelor's,5,41,4.1,45.8
247,26,Male,Marketing,Bachelor's,3,37,2.3,27.3
248,52,Female,Operations,Bachelor's,26,40,6.1,51.6
249,31,Female,IT,Bachelor's,4,42,2.5,43.4
250,39,Male,IT,Master's,15,39,7.5,59.8
251,56,Male,Operations,Bachelor's,1,44,4.8,44.0
252,35,Female,Operations,Bachelor's,12,43,3.3,33.5
253,51,Male,Finance,Bachelor's,11,46,4.0,39.8
254,42,Female,IT,Bachelor's,4,40,5.2,45.0
255,33,Female,Sales,Master's,11,41,5.8,43.4
256,26,Female,IT,PhD,2,40,4.1,49.4
257,52,Male,Sales,Bachelor's,29,46,4.9,56.5
258,57,Female,HR,Bachelor's,26,37,4.5,48.4
259,22,Female,Operations,Bachelor's,0,43,4.3,32.2
260,60,Female,Operations,Bachelor's,6,41,3.9,38.5
261,24,Male,IT,Master's,0,42,5.4,41.6
262,41,Male,Sales,Master's,1,46,5.3,53.5
263,58,Female,Operations,Bachelor's,8,40,6.9,39.9
264,48,Female,HR,Bachelor's,20,38,6.5,40.0
265,24,Male,Sales,Master's,2,42,4.2,43.1
266,39,Male,HR,Bachelor's,15,36,2.0,46.6
267,52,Female,Operations,Bachelor's,18,43,3.1,40.6
268,27,Male,Operations,Bachelor's,2,41,3.3,25.4
269,22,Female,Finance,Master's,0,46,3.5,51.8
270,49,Female,Sales,Bachelor's,15,46,4.1,44.6
271,34,Female,Marketing,Master's,3,37,6.2,42.5
272,62,Female,Marketing,Master's,33,43,6.3,57.9
273,44,Male,Finance,Bachelor's,10,44,6.6,43.4
274,28,Male,Finance,Bachelor's,2,41,5.2,40.0
275,39,Female,Marketing,Master's,1,36,6.2,37.8
276,53,Female,Sales,Bachelor's,23,38,4.6,56.9
277,51,Male,Sales,PhD,20,42,5.5,63.1
278,37,Female,Marketing,Bachelor's,2,35,4.1,42.7
279,23,Female,Sales,Master's,0,44,4.6,47.7
280,32,Female,Operations,PhD,5,41,3.8,44.4
281,28,Female,Operations,PhD,5,43,3.8,30.2
282,31,Female,Marketing,Bachelor's,0,40,5.1,32.3
283,23,Female,Sales,PhD,1,49,3.6,50.4
284,40,Male,Finance,Bachelor's,4,40,5.7,43.0
285,51,Female,HR,Bachelor's,0,40,4.4,39.3
286,48,Male,Marketing,Bachelor's,10,44,4.3,47.2
287,31,Female,HR,Master's,2,37,5.1,39.8
288,60,Female,Marketing,Bachelor's,20,40,2.6,51.9
289,47,Male,Finance,PhD,1,44,5.4,43.9
290,58,Female,HR,Master's,12,38,5.2,39.3
291,38,Female,Marketing,Master's,4,42,5.3,50.0
292,50,Female,Marketing,PhD,3,39,5.7,59.8
293,41,Female,Operations,PhD,16,40,7.7,47.3
294,34,Male,IT,Bachelor's,7,43,3.9,48.6
295,55,Female,Marketing,PhD,4,44,6.3,55.4
296,25,Female,Sales,Master's,1,38,2.6,39.4
297,25,Female,HR,Bachelor's,2,44,5.9,25.4
298,57,Male,IT,Master's,2,42,5.1,47.7
299,36,Male,Marketing,Master's,11,39,5.7,50.4
300,23,Female,Operations,Master's,0,40,6.5,35.0
301,35,Male,Marketing,Master's,3,37,8.2,51.8
302,31,Female,Sales,Master's,2,44,6.5,48.9
303,33,Female,Finance,Master's,0,43,3.6,49.5
304,48,Female,Marketing,PhD,3,39,3.1,49.9
305,43,Female,Marketing,Master's,17,39,6.2,43.3
306,30,Male,IT,Bachelor's,3,40,5.3,43.9
307,37,Male,Sales,Bachelor's,10,39,5.4,47.9
308,60,Male,Sales,Bachelor's,14,42,3.0,50.4
309,43,Female,Operations,Bachelor's,2,45,4.3,30.9
310,39,Male,Operations,Bachelor's,3,42,4.4,39.6
311,33,Male,Sales,Bachelor's,4,36,2.7,44.3
312,46,Male,Operations,Bachelor's,20,40,5.6,56.3
313,48,Male,HR,Master's,19,39,5.2,53.0
314,28,Female,Sales,Master's,5,43,1.9,43.6
315,59,Female,Marketing,PhD,22,36,4.6,58.5
316,55,Female,Marketing,Master's,7,46,7.5,45.9
317,24,Male,IT,Master's,2,36,6.9,36.8
318,54,Female,Finance,Master's,1,47,5.8,56.0
319,54,Female,Sales,Bachelor's,6,42,6.9,43.2
320,49,Male,Operations,Master's,5,43,3.9,47.9
321,50,Female,IT,Bachelor's,6,36,7.8,39.4
322,45,Male,IT,Bachelor's,15,39,6.2,48.6
323,61,Male,Operations,Bachelor's,3,43,6.1,39.7
324,28,Male,IT,Bachelor's,4,41,3.2,44.2
325,62,Female,Sales,Bachelor's,25,43,3.6,51.8
326,51,Male,Sales,Master's,3,42,6.0,37.5
327,31,Male,Operations,Bachelor's,7,39,6.2,33.4
328,55,Female,Finance,Master's,18,39,6.7,56.4
329,37,Female,Marketing,PhD,6,45,6.8,45.7
330,33,Male,Marketing,Bachelor's,5,38,4.4,41.4
331,27,Female,Marketing,Master's,5,38,5.0,46.6
332,47,Male,IT,Master's,3,40,7.4,47.1
333,30,Male,HR,Master's,6,39,6.0,32.6
334,29,Female,Operations,Master's,7,49,6.9,37.4
335,22,Female,Sales,Master's,0,37,6.5,41.9
336,22,Male,Operations,Master's,0,45,6.5,41.6
337,48,Male,IT,Bachelor's,13,37,6.2,59.4
338,41,Male,Marketing,Master's,15,38,6.6,51.7
339,53,Male,Finance,Bachelor's,21,43,5.5,50.6
340,56,Female,IT,Bachelor's,27,42,5.4,62.8
341,46,Female,IT,Bachelor's,8,41,7.2,46.5
342,24,Female,Sales,PhD,0,45,7.3,48.2
343,57,Female,Operations,Master's,28,40,6.3,54.9
344,58,Male,Marketing,Bachelor's,6,42,3.8,32.6
345,25,Male,Sales,Master's,0,40,3.8,46.1
346,29,Female,Sales,Bachelor's,0,35,5.4,31.4
347,42,Male,HR,Bachelor's,4,38,5.2,29.0
348,61,Male,IT,Bachelor's,7,42,4.1,53.0
349,59,Female,HR,Bachelor's,33,40,1.9,52.8
350,31,Female,Operations,Master's,8,47,7.7,45.5
